sep=;
Vertices;Edges;Delta;CPUs;Seq_Time;Par_Time;Speedup;Efficiency
12000;25;5,0;2;0,3811;0,8174;0,4662;0,2331
12000;25;5,0;4;0,3827;0,7688;0,4978;0,1244
12000;25;5,0;8;0,3877;0,8356;0,464;0,058
12000;25;5,0;16;0,3913;1,1046;0,3542;0,0221
12000;25;5,0;32;0,4178;1,8969;0,2203;0,0069
12000;25;10,0;2;0,4046;0,8199;0,4935;0,2467
12000;25;10,0;4;0,4012;0,7633;0,5256;0,1314
12000;25;10,0;8;0,4071;0,8294;0,4908;0,0614
12000;25;10,0;16;0,4137;1,0913;0,3791;0,0237
12000;25;10,0;32;0,4244;1,8959;0,2239;0,007
120000;1;0,5;2;0,1908;0,7049;0,2707;0,1353
120000;1;0,5;4;0,2159;0,7612;0,2836;0,0709
120000;1;0,5;8;0,2354;0,8836;0,2664;0,0333
120000;1;0,5;16;0,2941;1,163;0,2529;0,0158
120000;1;0,5;32;0,3068;1,7966;0,1708;0,0053
120000;1;1,0;2;0,2096;0,7125;0,2942;0,1471
120000;1;1,0;4;0,2219;0,7328;0,3028;0,0757
120000;1;1,0;8;0,2641;0,8297;0,3183;0,0398
120000;1;1,0;16;0,2789;1,1677;0,2388;0,0149
120000;1;1,0;32;0,2938;1,7389;0,169;0,0053
120000;1;2,0;2;0,2275;0,6988;0,3256;0,1628
120000;1;2,0;4;0,2432;0,7593;0,3203;0,0801
120000;1;2,0;8;0,2332;0,8627;0,2703;0,0338
120000;1;2,0;16;0,2752;1,1419;0,241;0,0151
120000;1;2,0;32;0,3057;1,7497;0,1747;0,0055
120000;1;5,0;2;0,2129;0,7133;0,2985;0,1492
120000;1;5,0;4;0,214;0,7729;0,2769;0,0692
120000;1;5,0;8;0,2335;0,8687;0,2688;0,0336
120000;1;5,0;16;0,2684;1,1432;0,2348;0,0147
120000;1;5,0;32;0,2863;1,7564;0,163;0,0051
120000;1;10,0;2;0,2325;0,7189;0,3234;0,1617
120000;1;10,0;4;0,2222;0,7804;0,2847;0,0712
120000;1;10,0;8;0,2719;0,8549;0,318;0,0398
120000;1;10,0;16;0,2758;1,1186;0,2466;0,0154
120000;1;10,0;32;0,2883;1,7829;0,1617;0,0051
120000;5;0,5;2;1,2477;1,7496;0,7131;0,3566
120000;5;0,5;4;1,2605;1,6388;0,7692;0,1923
120000;5;0,5;8;1,3381;1,7204;0,7778;0,0972
120000;5;0,5;16;1,3027;2,0966;0,6213;0,0388
120000;5;0,5;32;1,3316;3,1387;0,4243;0,0133
120000;5;1,0;2;1,2863;1,6743;0,7683;0,3841
120000;5;1,0;4;1,3027;1,5414;0,8451;0,2113
120000;5;1,0;8;1,2951;1,6474;0,7861;0,0983
120000;5;1,0;16;1,3277;1,948;0,6816;0,0426
120000;5;1,0;32;1,326;3,0233;0,4386;0,0137
120000;5;2,0;2;1,3137;1,6647;0,7892;0,3946
120000;5;2,0;4;1,3183;1,5013;0,8781;0,2195
120000;5;2,0;8;1,3024;1,5819;0,8233;0,1029
120000;5;2,0;16;1,3254;1,8629;0,7115;0,0445
120000;5;2,0;32;1,3522;2,8849;0,4687;0,0146
120000;5;5,0;2;1,2779;1,6117;0,7929;0,3964
120000;5;5,0;4;1,3093;1,4801;0,8846;0,2212
120000;5;5,0;8;1,3411;1,4828;0,9044;0,1131
120000;5;5,0;16;1,3773;1,754;0,7852;0,0491
120000;5;5,0;32;1,3573;2,7801;0,4882;0,0153
120000;5;10,0;2;1,3302;1,5956;0,8337;0,4168
120000;5;10,0;4;1,3112;1,4546;0,9014;0,2254
120000;5;10,0;8;1,3345;1,488;0,8968;0,1121
120000;5;10,0;16;1,3212;1,7526;0,7539;0,0471
120000;5;10,0;32;1,3658;2,7347;0,4994;0,0156
120000;10;0,5;2;2,1245;2,4273;0,8753;0,4376
120000;10;0,5;4;2,1045;2,164;0,9725;0,2431
120000;10;0,5;8;2,1783;2,2181;0,9821;0,1228
120000;10;0,5;16;2,1478;2,5341;0,8476;0,053
120000;10;0,5;32;2,1275;3,6374;0,5849;0,0183
120000;10;1,0;2;2,0971;2,3891;0,8778;0,4389
120000;10;1,0;4;2,1474;2,0823;1,0313;0,2578
120000;10;1,0;8;2,1954;2,088;1,0514;0,1314
120000;10;1,0;16;2,1874;2,3782;0,9198;0,0575
120000;10;1,0;32;2,2073;3,4634;0,6373;0,0199
120000;10;2,0;2;2,1721;2,3263;0,9337;0,4669
120000;10;2,0;4;2,1564;2,0634;1,0451;0,2613
120000;10;2,0;8;2,164;2,0703;1,0453;0,1307
120000;10;2,0;16;2,1812;2,3443;0,9304;0,0582
120000;10;2,0;32;2,2262;3,341;0,6663;0,0208
120000;10;5,0;2;2,2118;2,4109;0,9174;0,4587
120000;10;5,0;4;2,2698;2,0831;1,0896;0,2724
120000;10;5,0;8;2,3284;2,0488;1,1365;0,1421
120000;10;5,0;16;2,3108;2,2072;1,0469;0,0654
120000;10;5,0;32;2,4032;3,2261;0,7449;0,0233
120000;10;10,0;2;2,276;2,4344;0,9349;0,4675
120000;10;10,0;4;2,3283;2,0898;1,1141;0,2785
120000;10;10,0;8;2,3692;2,0145;1,1761;0,147
120000;10;10,0;16;2,3518;2,2276;1,0558;0,066
120000;10;10,0;32;2,3912;3,1627;0,7561;0,0236
120000;25;0,5;2;4,4965;4,4402;1,0127;0,5063
120000;25;0,5;4;4,6087;3,7543;1,2276;0,3069
120000;25;0,5;8;4,6623;3,5027;1,3311;0,1664
120000;25;0,5;16;4,5922;3,8096;1,2054;0,0753
120000;25;0,5;32;4,6137;4,9122;0,9392;0,0294
120000;25;1,0;2;4,9464;4,5101;1,0967;0,5484
120000;25;1,0;4;4,9311;3,7739;1,3066;0,3267
120000;25;1,0;8;4,823;3,5917;1,3428;0,1679
120000;25;1,0;16;5,0319;3,6853;1,3654;0,0853
120000;25;1,0;32;4,9497;4,7572;1,0405;0,0325
120000;25;2,0;2;5,2262;4,6198;1,1313;0,5656
120000;25;2,0;4;5,2372;3,7926;1,3809;0,3452
120000;25;2,0;8;5,1936;3,5221;1,4746;0,1843
120000;25;2,0;16;5,2417;3,5903;1,46;0,0912
120000;25;2,0;32;5,3022;4,6231;1,1469;0,0358
120000;25;5,0;2;5,2409;4,8377;1,0833;0,5417
120000;25;5,0;4;5,3346;3,9016;1,3673;0,3418
120000;25;5,0;8;5,4234;3,4789;1,5589;0,1949
120000;25;5,0;16;5,3845;3,5693;1,5086;0,0943
120000;25;5,0;32;5,4813;4,4579;1,2296;0,0384
120000;25;10,0;2;5,4142;4,821;1,123;0,5615
120000;25;10,0;4;5,476;3,8611;1,4182;0,3546
120000;25;10,0;8;5,3448;3,6101;1,4805;0,1851
120000;25;10,0;16;5,4329;3,6212;1,5003;0,0938
120000;25;10,0;32;5,507;4,455;1,2361;0,0386
1200000;1;0,5;2;2,7338;3,1817;0,8592;0,4296
1200000;1;0,5;4;2,9118;4,149;0,7018;0,1755
1200000;1;0,5;8;3,1534;3,8693;0,815;0,1019
1200000;1;0,5;16;3,3436;4,3245;0,7732;0,0483
1200000;1;0,5;32;3,5059;5,1459;0,6813;0,0213
1200000;1;1,0;2;2,7317;3,1982;0,8541;0,4271
1200000;1;1,0;4;2,9263;3,3786;0,8661;0,2165
1200000;1;1,0;8;3,2507;3,6899;0,881;0,1101
1200000;1;1,0;16;3,2602;4,14;0,7875;0,0492
1200000;1;1,0;32;3,4746;5,037;0,6898;0,0216
1200000;1;2,0;2;2,8129;3,3162;0,8482;0,4241
1200000;1;2,0;4;2,9237;3,5341;0,8273;0,2068
1200000;1;2,0;8;2,9885;3,6856;0,8109;0,1014
1200000;1;2,0;16;3,3002;4,2312;0,78;0,0487
1200000;1;2,0;32;3,4882;5,2007;0,6707;0,021
1200000;1;5,0;2;2,7975;3,3234;0,8418;0,4209
